2026-05-03 23:25:45 | Experiment | INFO | experiment.py:165 | [project1-rapidfire-rag-contexteng:Experiment] Experiment project1-rapidfire-rag-contexteng created with Experiment ID: 4 at /home/yul386/Project1 3/project1_solution/experiments/rapidfire_project1/project1-rapidfire-rag-contexteng
2026-05-03 23:26:03 | Experiment | INFO | metric_rfmetric_manager.py:55 | [project1-rapidfire-rag-contexteng:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-03 23:26:03 | Experiment | INFO | metric_rfmetric_manager.py:119 | [project1-rapidfire-rag-contexteng:Experiment] Creating MLflow experiment: project1-rapidfire-rag-contexteng
2026-05-03 23:26:03 | Experiment | INFO | experiment.py:210 | [project1-rapidfire-rag-contexteng:Experiment] Initialized MetricLogger experiment: 5
2026-05-03 23:26:03 | Experiment | INFO | experiment.py:226 | [project1-rapidfire-rag-contexteng:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-03 23:26:03 | Experiment | WARNING | experiment.py:381 | [project1-rapidfire-rag-contexteng:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-03 23:26:03 | Experiment | INFO | experiment.py:383 | [project1-rapidfire-rag-contexteng:Experiment] Running multi-config experiment with 8 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 6 actors)
2026-05-03 23:26:03 | Experiment | INFO | experiment.py:392 | [project1-rapidfire-rag-contexteng:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-03 23:26:04 | Controller | INFO | controller.py:895 | [project1-rapidfire-rag-contexteng:Controller] Dataset sharded into 8 shard(s). Shard sizes: [3, 3, 3, 3, 3, 3, 3, 3]
2026-05-03 23:26:04 | Controller | INFO | controller.py:900 | [project1-rapidfire-rag-contexteng:Controller] Received 8 pipeline configuration(s)
2026-05-03 23:26:04 | Controller | INFO | controller.py:309 | [project1-rapidfire-rag-contexteng:Controller] Found 6 unique RAG context(s)
2026-05-03 23:26:04 | Controller | INFO | controller.py:320 | [project1-rapidfire-rag-contexteng:Controller] Will build new context 87b5c076...
2026-05-03 23:26:04 | Controller | INFO | controller.py:320 | [project1-rapidfire-rag-contexteng:Controller] Will build new context 595c8433...
2026-05-03 23:26:04 | Controller | INFO | controller.py:320 | [project1-rapidfire-rag-contexteng:Controller] Will build new context 6245a226...
2026-05-03 23:26:04 | Controller | INFO | controller.py:320 | [project1-rapidfire-rag-contexteng:Controller] Will build new context 9f4dae53...
2026-05-03 23:26:04 | Controller | INFO | controller.py:320 | [project1-rapidfire-rag-contexteng:Controller] Will build new context e3311036...
2026-05-03 23:26:04 | Controller | INFO | controller.py:320 | [project1-rapidfire-rag-contexteng:Controller] Will build new context 9390b6a4...
2026-05-03 23:26:04 | Controller | INFO | controller.py:346 | [project1-rapidfire-rag-contexteng:Controller] Building 6 context(s) in parallel...
2026-05-03 23:26:04 | Controller | INFO | controller.py:373 | [project1-rapidfire-rag-contexteng:Controller] Creating 6 DocProcessingActor(s) for parallel processing
2026-05-03 23:26:05 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-03 23:26:05 | Controller | INFO | controller.py:461 | [project1-rapidfire-rag-contexteng:Controller] Submitted 6 build task(s) in parallel
2026-05-03 23:26:26 | DocProcessingActor | INFO | doc_actor.py:59 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor initialized
2026-05-03 23:26:26 | DocProcessingActor | INFO | doc_actor.py:59 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor initialized
2026-05-03 23:26:26 | DocProcessingActor | INFO | doc_actor.py:59 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor initialized
2026-05-03 23:26:26 | DocProcessingActor | INFO | doc_actor.py:59 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor initialized
2026-05-03 23:26:27 | DocProcessingActor | INFO | doc_actor.py:96 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-03 23:26:27 | DocProcessingActor | INFO | doc_actor.py:107 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Building document index...
2026-05-03 23:26:27 | DocProcessingActor | INFO | doc_actor.py:96 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-03 23:26:27 | DocProcessingActor | INFO | doc_actor.py:107 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Building document index...
2026-05-03 23:26:27 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-small-en-v1.5.
2026-05-03 23:26:27 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-small-en-v1.5.
2026-05-03 23:26:27 | DocProcessingActor | INFO | doc_actor.py:96 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-03 23:26:27 | DocProcessingActor | INFO | doc_actor.py:107 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Building document index...
2026-05-03 23:26:27 | DocProcessingActor | INFO | doc_actor.py:96 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-03 23:26:27 | DocProcessingActor | INFO | doc_actor.py:107 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Building document index...
2026-05-03 23:26:27 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-03 23:26:28 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-03 23:26:31 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-03 23:26:48 | DocProcessingActor | INFO | doc_actor.py:109 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Document index built successfully
2026-05-03 23:26:48 | DocProcessingActor | INFO | doc_actor.py:134 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-03 23:26:48 | DocProcessingActor | INFO | doc_actor.py:144 | [project1-rapidfire-rag-contexteng:DocProcessingActor] FAISS index serialized: 1794524 bytes
2026-05-03 23:26:48 | DocProcessingActor | INFO | doc_actor.py:189 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-03 23:26:48 | Controller | INFO | controller.py:482 | [project1-rapidfire-rag-contexteng:Controller] Built context 1 (87b5c076...) successfully in 44.54s
2026-05-03 23:26:52 | DocProcessingActor | INFO | doc_actor.py:109 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Document index built successfully
2026-05-03 23:26:52 | DocProcessingActor | INFO | doc_actor.py:134 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-03 23:26:52 | DocProcessingActor | INFO | doc_actor.py:144 | [project1-rapidfire-rag-contexteng:DocProcessingActor] FAISS index serialized: 838256 bytes
2026-05-03 23:26:52 | DocProcessingActor | INFO | doc_actor.py:189 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-03 23:26:52 | Controller | INFO | controller.py:482 | [project1-rapidfire-rag-contexteng:Controller] Built context 2 (595c8433...) successfully in 47.74s
2026-05-03 23:27:03 | DocProcessingActor | INFO | doc_actor.py:109 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Document index built successfully
2026-05-03 23:27:03 | DocProcessingActor | INFO | doc_actor.py:134 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-03 23:27:03 | DocProcessingActor | INFO | doc_actor.py:144 | [project1-rapidfire-rag-contexteng:DocProcessingActor] FAISS index serialized: 1794524 bytes
2026-05-03 23:27:03 | DocProcessingActor | INFO | doc_actor.py:189 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-03 23:27:03 | Controller | INFO | controller.py:482 | [project1-rapidfire-rag-contexteng:Controller] Built context 3 (6245a226...) successfully in 58.95s
2026-05-03 23:27:04 | DocProcessingActor | INFO | doc_actor.py:109 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Document index built successfully
2026-05-03 23:27:04 | DocProcessingActor | INFO | doc_actor.py:134 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-03 23:27:04 | DocProcessingActor | INFO | doc_actor.py:144 | [project1-rapidfire-rag-contexteng:DocProcessingActor] FAISS index serialized: 1140640 bytes
2026-05-03 23:27:04 | DocProcessingActor | INFO | doc_actor.py:189 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-03 23:27:04 | Controller | INFO | controller.py:482 | [project1-rapidfire-rag-contexteng:Controller] Built context 4 (9f4dae53...) successfully in 60.18s
2026-05-03 23:27:09 | DocProcessingActor | INFO | doc_actor.py:59 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor initialized
2026-05-03 23:27:10 | DocProcessingActor | INFO | doc_actor.py:96 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-03 23:27:10 | DocProcessingActor | INFO | doc_actor.py:107 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Building document index...
2026-05-03 23:27:10 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-small-en-v1.5.
2026-05-03 23:27:12 | DocProcessingActor | INFO | doc_actor.py:59 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor initialized
2026-05-03 23:27:12 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-03 23:27:13 | DocProcessingActor | INFO | doc_actor.py:96 | [project1-rapidfire-rag-contexteng:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-03 23:27:13 | DocProcessingActor | INFO | doc_actor.py:107 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Building document index...
2026-05-03 23:27:13 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-small-en-v1.5.
2026-05-03 23:27:15 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-03 23:27:43 | DocProcessingActor | INFO | doc_actor.py:109 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Document index built successfully
2026-05-03 23:27:43 | DocProcessingActor | INFO | doc_actor.py:134 | [project1-rapidfire-rag-contexteng:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-03 23:27:43 | DocProcessingActor | INFO | doc_actor.py:144 | [project1-rapidfire-rag-contexteng:DocProcessingActor] FAISS index serialized: 838256 bytes
